SMITH,"スミス,スミッス,スミット"
JOHNSON,"ヨーンゾン,ジョンスン,ジョンソン,ジォンソン,ジョーンスン,ユーンソン,ヨーンソン,ヨンソン"
WILLIAMS,"ウイリアムズ,ウィリアム,ウイリアムス,ウィリアムス,ウィリアムズ,ウィリアミ,ウイリアム,ウィリヤムス,ウィリヤムズ,ウィルヤムス,ウィルリアム,ウィルリヤム,ウィルレム"
JONES,"ジョウンズ,ジョンズ,ジョーンズ,ジォーンズ,ジョーンス,ジョンス,ヨネス"
BROWN,"ブラウン,ブラオン,ブロウン"
DAVIS,"ディビス,デヴィス,デビス,ディヴィス,デイヴィス,デイビス,デーヴィス,デービス,ダヴィ,ダビス,ディーヴーイス,ディーヴィス,デイヴィズ,デイトン,デイビィス,デェヴィス,デェビィス,デェビス,テビス"
MILLER,"ミルレル,ミレール,ミレル,ミラー,ミイラー,ミラ,ミラア,ミルラー,ミルレー,ミールレル,ミレー"
WILSON,"ウイルソン,ウィルスン,ウィルソン,ヴィルソン,ウェルソン"
MOORE,"モア,ムア,ムーア,ムーアー,ムウア,モーア,モアー"
TAYLOR,"タイラー,テイラー,テーラー,タイロル,ティラー,テイラ,テイラァ,テイロア,テイロル,テーラ,テーロール,テーロル,テロール"
ANDERSON,"アンダスン,アンデション,アンダースン,アンダソン,アンデルソン,アンダーソン,アンダーション,アンダション,アンダース,アンデェション"
THOMAS,"トーマ,トマ,トーマス,トマス,タマス,トゥーマス,トウマス,トオマス,トンマーゾ"
JACKSON,"ジャクスン,ジャクソン,ジャックソン"
WHITE,"ホワイト,ウァイト,ホアイト,ホライト,ワイト"
HARRIS,"ハリス,ハーリス"
MARTIN,"マッティン,マーティ,マーティー,マルティーン,マーチン,マーティン,マルタン,マルチン,マルティン,マアチン,マチン,マーテン,マルチーン,マルティヌス,マルティーノ,マルテン,メルティン"
THOMPSON,"トムスン,トンプスン,トムソン,トンプソン,ソンプソン,タムソン,タムプソン,トムプスン,トムプソン"
GARCIA,"ガルシーア,ガルシア,ガーシア,ガルスィア"
MARTINEZ,"マーティネス,マルチネス,マルティネス,マーティーニズ,マーティンス,マルチネーゼ,マルティーネス,マルティネズ"
ROBINSON,"ロビンスン,ロビンソン,ロバンソン,ロビソン,ロービンソン,ロヒンソン"
CLARK,"クラーク,クラアク"
RODRIGUEZ,"ロドリゲス,ロデリゲス,ロドリーゲス,ロードリゲツ"
LEWIS,"リュイス,ルー,レヴィス,レビス,ルーイス,ルイス,リューイス,リュウィス,ルーイズ,ルイース,ルイズ,ルーウィス,ルゥイス,ルウィス,レイズ,レヴィ,レーヴィス,レウィス,レービス"
LEE,"リー,イー,リィー,リイ,レー"
WALKER,"ウォーカー,ヴァルカー,ウォカー,ウオーカー,ウォーケル,ウォルカー,ワォーカー"
HALL,"ホール,ハッル,ハル,ホオル"
ALLEN,"アラン,アレン,アリン,アルレン,アーレン"
YOUNG,"ヤン,ヤング,ヨン,ヨング"
HERNANDEZ,"ヘルナンデス,エルナンデス,フェルナンデス"
KING,"キン,キング"
WRIGHT,"ウリクト,ヴリグト,ライト"
LOPEZ,"ロペズ,ロペス,ローペッツ"
HILL,"ヒル,ヒール,ヒルズ"
SCOTT,"スコット,スッコト"
GREEN,"グリーン,グリイン"
ADAMS,"アダムス,アダムズ,アダム"
BAKER,"ベイカー,ベーカー,バカル,バケル,ベーカ"
GONZALEZ,"ゴンサレス,ゴンザレス,ゴンサーレス,ゴンザーレス"
NELSON,"ネルスン,ネルソン,ネルゾン"
CARTER,"カーター,カータ,カルター"
MITCHELL,"ミッチェル,マイケル,ミチェル,ミッシェル"
PEREZ,"ペレズ,ペレス,ペレ,ペーレース,ペレーズ,ペレツ,ペレッツ"
ROBERTS,"ロバーツ,ロバアツ,ロバート,ロベール,ロベルツ,ロベルト"
TURNER,"トゥルネル,ターナー,ターナ,タナー,トルネル"
PHILLIPS,"フィリプス,フィリップス,フィリップ,フィーリプス"
CAMPBELL,"カンベル,キャンブル,キャンベル,キャムベル,キャンプベル"
PARKER,"パーカー,パアカー,パーカア,パークル"
EVANS,"エヴァンス,エヴァンズ,エバンス,エバンズ,イヴァンス,イバンス,エヴァン,エヴアンズ"
